name;parent;categoria;descripcion
 Ramalinaceae; Lecanorales;Familia;Líquenes arbustivos planos y ramificados expuestos a vientos en zonas forestales húmedas
Parmeliaceae; Lecanorales;Familia;La familia más grande de líquenes foliosos con talos dorsiventrales bien desarrollados
 Stereocaulaceae; Lecanorales;Familia;Líquenes que desarrollan pseudopodecios ramificados cubiertos de estructuras granulares llamadas filocladios
Candelariaceae;Candelariales;Familia;Líquenes pequeños amarillos o anaranjados debido a la secreción abundante de ácido pulvínico
Pucciniaceae;Pucciniales;Familia;Basidiomicetos fitopatógenos obligados macroscópicos causantes de las royas agrícolas más destructivas
Phragmidiaceae;Ustilaginales;Familia;Royas parásitas especializadas que infectan hojas y tallos de la familia Rosaceae
Ustilaginaceae;Ustilaginales;Familia;Hongos dimórficos parásitos que forman los carbones destructivos en las espigas cerealeras
Glomosporiaceae; Urocystidales;Familia;Basidiomicetos parásitos emparentados con los carbones que producen esporas de resistencia agregadas
Tilletiaceae;Tilletiales;Familia;Hongos causantes del carbón cubierto que transforma los granos de trigo en polvo fétido
Malasseziaceae;Malasseziales;Familia;Levaduras basidiomicetas lipofílicas de la piel causantes de la caspa y pitiriasis versicolor
Tremellaceae;Tremellales;Familia;Hongos gelatinosos dimórficos micoparásitos que desarrollan basidios septados longitudinalmente con forma cruzada
Dacrymicetaceae;Dacrymycetales;Familia;Hongos lignícolas gelatinosos de color amarillo con basidios bifurcados típicos en forma diapasón
Auriculariaceae;Auriculariales;Familia;Hongos saprófitos gelatinosos orejiformes con basidios transversalmente septados que crecen sobre madera
Thelephoraceae;Thelephorales;Familia;Hongos ectomicorrízicos coriáceos con himenio liso u ondulado y esporas marrones ornamentadas
Hericiaceae;Russulales;Familia;Hongos lignícolas cuyos cuerpos fructíferos presentan densas espinas o barbas colgantes blancas
Russulaceae;Russulales;Familia;Setas carnosas quebradizas debido a la presencia estructural de células esféricas llamadas esferocistos
Peniophoraceae;Russulales;Familia;Hongos resupinados corticioides que crecen como costras adheridas firmemente a ramas caídas
Meruliaceae;Polyporales;Familia;Hongos lignícolas con himenio plicato-poroide gelatinoso que causan pudrición blanca maderera activa
Sparassidaceae;Polyporales;Familia;Hongos parásitos de raíces con aspecto macroscópico lobulado similar a una coliflor rizada
 Ganodermataceae;Polyporales;Familia;Hongos políporos coriáceos con costra brillante lacada; incluye al hongo medicinal Reishi
Polyporaceae;Polyporales;Familia;Hongos de estante leñosos con poros inferiores rígidos no separables de la carne
Gomphaceae;Gomphales;Familia;Hongos clavarioides o cantharelides con himenio arrugado y esporas estriadas de color ocre
Clavariadelphaceae;Gomphales;Familia;Basidiomicetos con cuerpos fructíferos erectos y claviformes simples que habitan el mantillo boscoso
Clavariaceae;Agaricales;Familia;Hongos coraloides ramificados de colores vistosos que crecen en suelos orgánicos húmedos
 Tricholomataceae;Agaricales;Familia;Setas carnosas con láminas blancas adnatas o escotadas y esporas lisas hialinas
Pleurotaceae;Agaricales;Familia;Setas excéntricas o laterales con láminas decurrentes; incluye al hongo ostra comestible
Marasmiaceae;Agaricales;Familia;Setas marcescentes capaces de revivir al hidratarse, con hifas de consistencia coriácea resistente
Agaricaceae;Agaricales;Familia;Setas con láminas libres libres que se oscurecen al madurar; incluye al champiñón común
Amanitaceae;Agaricales;Familia;Setas caracterizadas por poseer volva basal, anillo y esporas blancas; incluye especies mortales
Schizophyllaceae;Agaricales;Familia;Hongos lignícolas con láminas partidas longitudinalmente que se curvan al secarse el sustrato
Nidulariaceae;Agaricales;Familia;Hongos gasteroides llamados nidos de pájaro que contienen peridíolos con esporas internas
Physalacriaceae;Agaricales;Familia;Familia de agaricales que incluye hongos bioluminiscentes y patógenos radiculares forestales importantes
 Hygrophoraceae;Agaricales;Familia;Setas de colores brillantes con láminas de aspecto ceroso grueso y esporas lisas
Cantharellaceae; Cantharellales;Familia;Hongos comestibles con forma de trompeta y pliegues himeniales bifurcados en vez de láminas
Hydnaceae; Cantharellales;Familia;Hongos que presentan un himenio formado por aguijones o dientes colgantes carnosos comestibles
Geastraceae;Geastrales;Familia;Hongos gasteroides llamados estrellas de tierra cuyo exoperidio se abre en lóbulos estrellados
Boletaceae;Boletales;Familia;Setas carnosas caracterizadas por poseer tubos y poros inferiores separables de la carne
Sclerodermataceae;Boletales;Familia;Hongos gasteroides globosos con peridio grueso duro y gleba oscura pulverulenta al madurar
Calostomataceae;Boletales;Familia;Gasteromicetos con pies gelatinosos y estomas apicales de colores rojizos vivos especializados
Diplocystaceae (Astraceae);Boletales;Familia;Hongos gasteroides higroscópicos que abren sus lóbulos estrellados según la humedad ambiental
Phallaceae;Phallales;Familia;Hongos malolientes con gleba viscosa que atrae moscas para dispersar sus esporas maduras
Entorrhizaceae;Entorrhizales;Familia;Hongos parásitos del suelo que inducen agallas nodulares en raíces de plantas vasculares
Archaeplastidae (Plantae);Eukarya;Reino;Plantas. Organismos fotosintéticos con plastos derivados de endosimbiosis primaria
Viridiplantae;Archaeplastidae (Plantae);Subreino;Clado monofilético integrado por las algas verdes y todas las plantas terrestres
Streptophyta;Viridiplantae;Infrareino;Grupo que reúne a las algas carófitas y a las plantas terrestres emparentadas
Rhodaria;Archaeplastidae (Plantae);Infrareino;Clado filogenético basal que agrupa linajes específicos de algas rojas y afines
Embriophyta;Streptophyta;Parvreino;Plantas terrestres caracterizadas por desarrollar un embrión protegido por tejidos maternos especializados
Bryobiotina;Embriophyta;Superfilo/Superdivisión;Briófitos o plantas terrestres no vasculares basales
Pteridobiotina;Embriophyta;Superfilo/Superdivisión;Grupo taxonómico que comprende a las plantas vasculares
Picobiliphyta;Rhodaria;Filo/División;Algas unicelulares marinas picoplanctónicas ultrapequeñas con plastos de origen secundario sugerido
Rhodelphidophyta;Rhodaria;Filo/División;Flagelados depredadores marinos unicelulares que constituyen el grupo hermano de algas rojas
Rhodophyta;Rhodaria;Filo/División;Algas rojas marinas bentónicas fotosintéticas que contienen pigmentos accesorios llamados ficobiliproteínas
Glaucophyta;Archaeplastidae (Plantae);Filo/División;Algas unicelulares dulceacuícolas que poseen cianelas con restos primitivos de peptidoglicano
Chlorophyta;Viridiplantae;Filo/División;Algas verdes predominantemente acuáticas que contienen clorofilas a y b almacenando almidón
Charophyta*;Streptophyta;Filo/División;Algas verdes dulceacuícolas complejas que comparten un ancestro común directo con embriófitos
Anthocerotophyta;Bryobiotina;Filo/División;Antoceros o plantas no vasculares con esporófitos cilíndricos alargados de crecimiento continuo
Bryophyta;Bryobiotina;Filo/División;Musgos verdaderos con gametófitos foliosos dominantes y esporófitos provistos de cápsula peristomada
Marchantiophyta;Bryobiotina;Filo/División;Hepáticas con gametófitos talosos o foliosos dorsiventrales que carecen de estomas verdaderos
Tracheophyta;Pteridobiotina;Filo/División;Plantas vasculares poseedoras de xilema y floema para el transporte de fluidos
Cyanidiophytina;Rhodophyta;Subfilo/Subdivisión;Algas rojas unicelulares extremófilas estables que habitan ambientes ácidos y termales hostiles
Proteorhodophytina;Rhodophyta;Subfilo/Subdivisión;Algas rojas morfológicamente diversas que habitan principalmente sustratos marinos bentónicos
Eurhodophytina;Rhodophyta;Subfilo/Subdivisión;Subdivisión que agrupa a la gran mayoría de algas rojas macroscópicas pluricelulares
Chlorophytina;Chlorophyta;Subfilo/Subdivisión;Subdivisión núcleo que concentra la mayor diversidad de linajes de algas verdes
Lycophyta;Tracheophyta;Subfilo/Subdivisión;Licófitos o plantas vasculares basales caracterizadas por poseer hojas sésiles llamadas micrófilos
Monilophyta;Tracheophyta;Subfilo/Subdivisión;Helechos verdaderos y colas de caballo dotados de hojas complejas denominadas megáfilos
Spermatophyta;Tracheophyta;Subfilo/Subdivisión;lantas con semilla que se reproducen mediante óvulos fertilizados y granos polen
Acrogymnospermae* (Gymnospermae);Spermatophyta;Infrafilo/Infradivisión;Plantas leñosas con semillas desnudas expuestas en estructuras llamadas conos o estróbilos
Angiospermae;Spermatophyta;Infrafilo/Infradivisión;Plantas con flores que producen semillas protegidas en el interior de un fruto
ANA*;Angiospermae;Superclase;Grado evolutivo basal de angiospermas que incluye Amborellales, Nymphaeales y Austrobaileyales. No es un grupo monofilético
Mesangiospermae;Angiospermae;Superclase;Clado nuclear que agrupa a la inmensa mayoría de las angiospermas modernas
Picomonadophyceae;Picobiliphyta;Clase;Algas unicelulares marinas ultrapequeñas que constituyen uno de los linajes basales de Archaeplastida
Rhodelphidophyceae;Rhodelphidophyta;Clase;Flagelados depredadores unicelulares que filogenéticamente representan el grupo hermano de las algas rojas
Cyanidiophycea;Cyanidiophytina;Clase;Algas rojas unicelulares extremófilas estables que habitan exclusivamente ambientes volcánicos muy ácidos
Compsopogonophyceae;Proteorhodophytina;Clase;Algas rojas pluricelulares bentónicas que habitan predominantemente ambientes dulceacuícolas ricas en carbohidratos
Porphyridiophyceae;Proteorhodophytina;Clase;Algas rojas unicelulares envueltas en una matriz de mucílago polisacárido denso protector
Rhodellophyceae;Proteorhodophytina;Clase;Grupo de algas rojas unicelulares marinas que carecen de una pared celular rígida
Stylonematophyceae;Proteorhodophytina;Clase;Algas rojas pseudoparenquimatosas o filamentosas simples que habitan ambientes dulceacuícolas y marinos
Bangiophyceae;Eurhodophytina;Clase;Algas rojas multicelulares con talos laminares o filamentosos intercalados por fases microscópicas dipofásicas
Floridophyceae;Eurhodophytina;Clase;Clase más grande de algas rojas macroscópicas con conexiones en fosa complejas
Glaucophyceae;Glaucophyta;Clase;Algas unicelulares portadoras de cianelas fotosintéticas con vestigios estructurales basales de peptidoglicano
  Trebouxiophyceae;Chlorophytina;Clase;Algas verdes subaéreas y continentales que frecuentemente actúan como fotobiontes en líquenes
Ulvophyceae;Chlorophytina;Clase;Algas verdes filamentosas o laminares marinas caracterizadas principalmente por talos sifonosos multinucleados
Chlorophyceae;Chlorophytina;Clase;Algas verdes continentales dominantes con husos mitóticos cerrados coordinados por ficoplastos estables
Mesostigmatophyceae;Charophyta*;Clase;Algas verdes unicelulares flageladas asimétricas cubiertas por escamas orgánicas consideradas basales
Chlorokybophyceae;Charophyta*;Clase;Algas verdes sarcinoides raras que habitan exclusivamente sustratos terrestres húmedos o subaéreos
Klebsomidiophyceae;Charophyta*;Clase;Algas verdes pluricelulares formadoras de filamentos simples sin ramificaciones que colonizan suelos
Charophyceae;Charophyta*;Clase;Algas carófitas macroscópicas ramificadas con órganos reproductores complejos protegidos por células estériles
Coleochaetophyceae;Charophyta*;Clase;Algas verdes parenquimatosas discoidales con pelos citoplasmáticos modificados protegidos basalmente por vainas
Zygnemophyceae;Charophyta*;Clase;Algas verdes unicelulares o filamentosas caracterizadas fundamentalmente por reproducción sexual mediante conjugación
 Anthocerotopsida;Anthocerotophyta;Clase;Antoceros dotados de gametófitos talosos basales y esporófitos cilíndricos de crecimiento continuo
Bryopsida;Bryophyta;Clase;Musgos verdaderos caracterizados por cápsulas esporofíticas provistas de un peristoma de dientes
 Polytrichopsida;Bryophyta;Clase;Musgos de gran tamaño con anatomía foliar compleja provista de laminillas fotosintéticas
 Sphagnopsida;Bryophyta;Clase;Musgos de turbera con hojas constituidas por células clorofílicas vivas e hialocitos
 Marchantiopsida;Marchantiophyta;Clase;Hepáticas talosas complejas con cámaras aéreas, poros delimitados y esporófitos estructuralmente simplificados
 Jungermanniopsida;Marchantiophyta;Clase;Hepáticas foliosas o talosas simples cuyos esporófitos están desprovistos de columela central
 Haplomitriopsida;Marchantiophyta;Clase;Hepáticas basales primitivas que carecen completamente de rizoides funcionales en sus gametófitos
Lycopodiopsida;Lycophyta;Clase;Licófitos vivientes poseedores de raíces bifurcadas dicotómicamente y microfilos con una vena
Polypodiopsida;Monilophyta;Clase;Helechos verdaderos que desarrollan megáfilos denominados frondes con prefoliación típicamente circinada
 Cycadopsida;Acrogymnospermae* (Gymnospermae);Clase;Gimnospermas de aspecto palmiforme con hojas pinnadas compuestas y grandes estróbilos apicales
 Ginkgoopsida;Acrogymnospermae* (Gymnospermae);Clase;Gimnospermas representadas por un árbol caducifolio provisto de hojas flabeladas flabeliformes bilobuladas
 Pinopsida;Acrogymnospermae* (Gymnospermae);Clase;Coníferas leñosas con hojas aciculares o escuamiformes y semillas portadas en conos
Magnoliidae;Mesangiospermae;Clase;Angiospermas basales perennes que retienen caracteres florales ancestrales espiralados y aceites esenciales
Monocotyledoneae (Liliopsida);Mesangiospermae;Clase;Angiospermas caracterizadas por un solo cotiledón embrionario, hojas paralelinervias y flores trímeras
Eudicotyledoneae;Mesangiospermae;Clase;Angiospermas nucleares caracterizadas por granos de polen tricolpados y dos cotiledones embrionarios
Anthocerotidae; Anthocerotopsida;Subclase;Subclase basal de antoceros con caracteres morfológicos primitivos estables en sus gametófitos
 Bryidae;Bryopsida;Subclase;Subclase diversificada de musgos caracterizados por poseer peristomas de tipo artrodonto
 Funariidae;Bryopsida;Subclase;Musgos anuales o de vida corta con cápsulas asimétricas marcadamente curvadas micróstomas
Equisetidae;Polypodiopsida;Subclase;Colas de caballo con tallos huecos articulados estriados fotosintéticos acumuladores de sílice
Ophioglossidae;Polypodiopsida;Subclase;Helechos eusporangiados basales con frondes divididas en porciones estériles y espigas fértiles
Marattiidae;Polypodiopsida;Subclase;Helechos eusporangiados tropicales gigantes dotados de estípulas carnosas basales en los frondes
Polypodiidae;Polypodiopsida;Subclase;Gran linaje de helechos leptosporangiados con esporangios provistos de un anillo mecánico vertical
 Cupressidae;Pinopsida;Subclase;Coníferas con hojas opuestas o verticiladas y complejos conos de semillas fusionados
 Gnetidae;Pinopsida;Subclase;Gimnospermas aberrantes con vasos xilemáticos primitivos y estructuras reproductivas semejantes a flores
 Pinidae;Pinopsida;Subclase;Coníferas dominantes boreales caracterizadas por poseer canales resiníferos conspicuos en tejidos vegetativos
Commelinidae;Monocotyledoneae (Liliopsida);Subclase;Monocotiledóneas avanzadas con paredes celulares ricas en ácidos UV-fluorescentes como ferúlico
Pentapetalae;Eudicotyledoneae;Subclase;Macroclado núcleo de las eudicotiledóneas caracterizado por flores cíclicas mayoritariamente pentámeras
Hildenbrandiophycidae;Floridophyceae;Subclase;Algas rojas costrosas incrustantes no calcificadas que se reproducen mediante conceptáculos especializados
Ahnfeltiophycidae;Floridophyceae;Subclase;Algas rojas filamentosas de consistencia coriácea con ciclos de vida heteromórficos particulares
Nemaliophycidae;Floridophyceae;Subclase;Algas rojas con talos de estructura uniaxial o multiaxial comúnmente calcificados superficialmente
Corallinophycidae;Floridophyceae;Subclase;Algas rojas fuertemente calcificadas con carbonato de calcio que forman arrecifes marinos
Rhodymeniophycidae;Floridophyceae;Subclase;Subclase más diversa de algas rojas con carpogonios altamente complejos y especializados
Superrosidae;Pentapetalae;Infraclase;Gran superclado de eudicotiledóneas que agrupa al orden Saxifragales y al clado Rosidae
Superasteridae;Pentapetalae;Infraclase;Superclado altamente diversificado que comprende a las astéridas junto con los órdenes Caryophyllales y Santalales
Rosidae;Superrosidae;Parvclase;Clado monofilético mayoritario caracterizado principalmente por flores dialipétalas y óvulos frecuentemente crasinucelados
Asteridae;Superasteridae;Parvclase;Clado avanzado de angiospermas caracterizado por flores típicamente gamopétalas, estambres epipétalos y óvulos tenuinucelados
Fabidae;Rosidae;Superorden;Subclado de rosadas que destaca por la fijación simbiótica de nitrógeno atmosférico mediante nódulos
Malvidae;Rosidae;Superorden;Linaje de rosadas caracterizado predominantemente por flores de gineceo sincárpico y hojas estipuladas
Lamiidae;Asteridae;Superorden;Subclado de astéridas con flores de pétalos fusionados, ovarios súperos y hojas opuestas
Campanulidae;Asteridae;Superorden;Linaje avanzado de astéridas caracterizado comúnmente por canales resiníferos o laticíferos y ovarios ínferos
Picomonadales;Picomonadophyceae;Orden;Orden de biflagelados marinos ultrapequeños que se alimentan mediante fagocitosis de bacterias
Rhodelphidales;Rhodelphidophyceae;Orden;Flagelados depredadores unicelulares dulceacuícolas que constituyen el grupo hermano de las algas rojas
Cyanidiales;Cyanidiophycea;Orden;Orden de algas rojas unicelulares extremófilas que prosperan en fuentes termales ácidas
Compsopogonales;Compsopogonophyceae;Orden;Algas rojas pluricelulares bentónicas filamentosas que habitan principalmente cursos de agua dulce
Erythropeltidales;Compsopogonophyceae;Orden;Algas rojas marinas con talos filamentosos o discoidales caracterizadas por producir monósporas asexuales
Rhodochaetales;Compsopogonophyceae;Orden;Pequeño orden de algas rojas unicelulares marinas con plastos ramificados carentes de pared
Porphyridiales;Porphyridiophyceae;Orden;Algas rojas unicelulares que viven libres o agregadas en gruesas matrices mucilaginosas
Dixoniellales;Rhodellophyceae;Orden;Algas rojas unicelulares rodeadas por una densa matriz de mucílago polisacárido protector
Stylonematales;Stylonematophyceae;Orden;Algas rojas filamentosas o pseudoparenquimatosas simples que poseen paredes celulares ricas en galactanos
Rufusiales;Stylonematophyceae;Orden;Algas rojas unicelulares terrestres que forman costras rojizas en sustratos rocosos húmedos
Bangiales;Bangiophyceae;Orden;Algas rojas marinas con talos laminares macroscópicos comercialmente explotadas como el alga nori
Hildenbrandiales;Hildenbrandiophycidae;Orden;Algas rojas crustáceas fuertemente incrustantes que colonizan sustratos rocosos marinos y dulceacuícolas
 Ahnfeltiaceae;Ahnfeltiophycidae;Orden;Algas rojas filamentosas coriáceas ramificadas que poseen ciclos de vida heteromórficos particulares
Nemaliales;Nemaliophycidae;Orden;Algas rojas multiaxiales de consistencia gelatinosa o calcificada comunes en zonas intermareales
Corallinales;Corallinophycidae;Orden;Algas rojas calcificadas petrificadas que juegan un rol ecológico clave edificando arrecifes
Ceramiales;Rhodymeniophycidae;Orden;El orden más grande de algas rojas, caracterizado por talos delicadamente filamentosos polisifónicos
 Gelidiales;Rhodymeniophycidae;Orden;Algas rojas de talo cartilaginoso explotadas industrialmente como principal fuente de agar-agar purificado
Gigartinales;Rhodymeniophycidae;Orden;Orden macroalgal morfológicamente diverso caracterizado por acumular grandes cantidades de carragenián en sus paredes
 Gracilariales;Rhodymeniophycidae;Orden;Algas rojas cilíndricas o aplanadas cultivadas globalmente por su alta producción de agárofito
 Halymeniales;Rhodymeniophycidae;Orden;Algas rojas de consistencia carnosa o gelatinosa provistas de células auxiliares en ramas especiales
 Rhodymeniales;Rhodymeniophycidae;Orden;Algas rojas pluricelulares macroscópicas con talos foliosos o cilíndricos típicamente huecos internamente
Glaucocystales;Glaucophyceae;Orden;Algas unicelulares dulceacuícolas raras que retienen plastos primitivos con paredes de peptidoglicano
Prasiolales;  Trebouxiophyceae;Orden;Algas verdes de talos laminares o filamentosos que habitan ambientes terrestres o intermareales nitrófilos
Chlorellales;  Trebouxiophyceae;Orden;Algas verdes unicelulares o coloniales cocoides de gran importancia en estudios biotecnológicos
Bryopsidales;Ulvophyceae;Orden;Algas verdes macroscópicas constituidas por una única célula gigante cenocítica tubular ramificada
Cladophorales;Ulvophyceae;Orden;Algas verdes que forman densos filamentos ramificados compuestos por células multinucleadas sifonocladales
 Ulotrichales;Ulvophyceae;Orden;Algas verdes filamentales simples no ramificadas que poseen células con un cloroplasto parietal anular
Ulvales;Ulvophyceae;Orden;Algas verdes marinas con talos laminares o tubulares como la lechuga de mar
Chaetophorales;Chlorophyceae;Orden;Algas verdes filamentosas ramificadas formadas por grandes células multinucleadas con cloroplastos reticulados
Oedogoniales;Chlorophyceae;Orden;Algas filamentosas dulceacuícolas caracterizadas por células con anillos cicatrizales y zoósporas estefanocontas
Volvocales;Chlorophyceae;Orden;Algas verdes flageladas unicelulares o coloniales móviles integradas en matrices esféricas mucilaginosas coordinadas
Sphaeropleales;Chlorophyceae;Orden;Algas verdes continentales que forman filamentos simples o colonias complejas como Scenedesmus
 Mesostigmatales;Mesostigmatophyceae;Orden;Algas verdes unicelulares biflageladas recubiertas de escamas orgánicas consideradas filogenéticamente basales
 Chlorokybales;Chlorokybophyceae;Orden;Algas verdes sarcinoides raras que habitan exclusivamente ambientes terrestres húmedos y sombreados
Klebsormidiales;Klebsomidiophyceae;Orden;Algas verdes pluricelulares que forman filamentos simples no ramificados adaptadas a suelos costrosos
Charales;Charophyceae;Orden;Algas verdes complejas con ejes diferenciados en nudos y entrenudos parecidas a plantas
Coleochaetales;Coleochaetophyceae;Orden;Algas parenquimatosas discoidales consideradas filogenéticamente muy cercanas al origen de las plantas terrestres
 Desmidiales;Zygnemophyceae;Orden;Algas unicelulares dulceacuícolas con células divididas simétricamente en dos semicélulas unidas por un istmo
 Spirogyrales;Zygnemophyceae;Orden;Algas verdes continentales caracterizadas por filamentos con cloroplastos helicoidales que realizan conjugación sexual
Zygnematales;Zygnemophyceae;Orden;Algas verdes caracterizadas por la ausencia completa de células flageladas y reproducción por conjugación
 Anthocerotales ;Anthocerotidae;Orden;Antoceros con gametófitos talosos dorsiventrales que albergan colonias simbióticas de cianobacterias fijadoras
Bryales; Bryidae;Orden;Musgos verdaderos acrocárpicos que poseen cápsulas erguidas con peristomas de tipo artrodonto
Hypnales; Bryidae;Orden;El orden más grande de musgos pleurocárpicos, caracterizado por talos ramificados postrados alfombrantes
 Funariales; Funariidae;Orden;Musgos terrestres de ciclo corto con cápsulas marcadamente asimétricas provistas de cuellos conspicuos
 Polytrichales ; Polytrichopsida;Orden;Musgos dioicos gigantes con anatomía foliar compleja provista de laminillas fotosintéticas verticales
Sphagnales; Sphagnopsida;Orden;Musgos de turbera cuyas hojas almacenan grandes volúmenes de agua en células hialinas muertas
Marchantiales; Marchantiopsida;Orden;Hepáticas talosas complejas con poros epidérmicos definidos y estructuras reproductivas pedunculadas sombreriformes
Jungermanniales; Jungermanniopsida;Orden;El orden más diverso de hepáticas foliosas, dispuestas típicamente en dos o tres filas de hojas planas
 Frullaniales ; Jungermanniopsida;Orden;Hepáticas foliosas epífitas con hojas bilobuladas cuyos lóbulos inferiores forman pequeños sacos colectores de agua
Treubiales;Haplomitriopsida;Orden;Linaje basal de hepáticas talosas caracterizado por poseer grandes escamas foliosas dispuestas a los lados del eje
Haplomitriales;Haplomitriopsida;Orden;Hepáticas basales primitivas con gametófitos erectos estables que carecen por completo de rizoides funcionales
Lycopodiales;Lycopodiopsida;Orden;Licófitos homospóreos con tallos ramificados dicotómicamente cubiertos por micrófilos imbricados helicoidales
Isoetales;Lycopodiopsida;Orden;Plantas vasculares acuáticas o palustres con tallos cormiformes cortos y hojas lineares arrosetadas
Selaginellales;Lycopodiopsida;Orden;Licófitos heterospóreos que poseen micrófilos dispuestos en cuatro filas y un apéndice llamado lígula
Equisetales;Equisetidae;Orden;Colas de caballo con tallos huecos articulados fotosintéticos que acumulan sílice endurecedora
Ophioglossales;Ophioglossidae;Orden;Helechos eusporangiados basales con frondes divididas en un segmento estéril fotosintético y una espiga fértil
Psilotales;Ophioglossidae;Orden;Helechos primitivos que carecen de raíces y hojas verdaderas, con tallos verdes fotosintéticos dicotómicos
Marattiales;Marattiidae;Orden;Helechos eusporangiados gigantes tropicales con frondes masivos provistos de estípulas carnosas basales
Hymenophyllales;Polypodiidae;Orden;Helechos de película con frondes extremadamente delgados formados por una sola capa celular epidérmica
Gleicheniales;Polypodiidae;Orden;Helechos pseudodicotómicos trepadores adaptados a colonizar suelos degradados o expuestos expuestos de sol
Salviniales;Polypodiidae;Orden;Helechos acuáticos flotantes heterospóreos que establecen simbiosis estables con cianobacterias fijadoras de nitrógeno
Schyzaeales;Polypodiidae;Orden;Helechos leptosporangiados terrestres que poseen esporangios marginales provistos de un anillo apical característico
Cyatheales;Polypodiidae;Orden;Helechos arborescentes macroscópicos con rizomas erectos leñosos que forman troncos coronados por grandes frondes
Polypodiales;Polypodiidae;Orden;El orden más grande de helechos modernos, caracterizado por esporangios con anillos mecánicos verticales interrumpidos
 Cycadales; Cycadopsida;Orden;Gimnospermas dioicas de aspecto palmiforme con hojas pinnadas compuestas y grandes conos reproductores apicales
Ginkgoales; Ginkgoopsida;Orden;Linaje relictual representado exclusivamente por un árbol caducifolio con hojas flabeladas bilobuladas características
Araucariales; Cupressidae;Orden;Coníferas del hemisferio sur con hojas coriáceas persistentes y conos leñosos de semillas grandes
 Cupressales; Cupressidae;Orden;Coníferas con hojas opuestas o verticiladas escuamiformes y conos de semillas frecuentemente carnosos gálbulos
Gnetales; Gnetidae;Orden;Arbustos o lianas gimnospérmicas que poseen vasos xilemáticos eficientes semejantes a las angiospermas
Ephedrales; Gnetidae;Orden;Arbustos dioicos xerofíticos con tallos verdes articulados fotosintéticos y hojas reducidas a escamas diminutas
Pinales; Pinidae;Orden;Coníferas boreales leñosas resiníferas que poseen hojas aciculares perennes y conos leñosos protectores
Amborellales;ANA*;Orden;Linaje basal hermano de todas las angiospermas, representado por un arbusto endémico sin vasos xilemáticos
Nymphaeales;ANA*;Orden;Plantas acuáticas arraigadas con hojas flotantes peltadas y flores vistosas con pétalos graduales transicionales
Austrobaileyales ;ANA*;Orden;Arbustos leñosos o lianas que poseen aceites esenciales esenciales y flores polinizadas principalmente por dípteros
Chloranthales;Mesangiospermae;Orden;Angiospermas basales con flores diminutas monoclamídeas dispuestas en espigas y hojas opuestas dentadas
Magnoliales;Magnoliidae;Orden;Angiospermas leñosas con flores grandes de piezas dispuestas espiraladamente sobre un receptáculo cónico alargado
Laurales;Magnoliidae;Orden;Plantas leñosas aromáticas con flores de gineceo ínfero protegido dentro de un receptáculo acopado urceolado
Piperales;Magnoliidae;Orden;Hierbas o lianas con nudos hinchados, hojas cordadas y flores diminutas desnudas densamente agrupadas en espádices
Canellales;Magnoliidae;Orden;Angiospermas leñosas basales caracterizadas por poseer una corteza marcadamente aromática y polen monosulcado estructural
Alismatales;Monocotyledoneae (Liliopsida);Orden;Plantas acuáticas o palustres que frecuentemente desarrollan hojas flotantes y raíces adaptadas al fango
Dioscoreales;Monocotyledoneae (Liliopsida);Orden;Monocotiledóneas trepadoras con raíces tuberosas e hipogeas que acumulan gran cantidad de almidón
Pandanales;Monocotyledoneae (Liliopsida);Orden;Plantas tropicales arborescentes que desarrollan raíces zancudas de soporte y hojas lineares espinescentes
Liliales;Monocotyledoneae (Liliopsida);Orden;Hierbas geófitas bulbosas caracterizadas por vistosas flores con tépalos maculados y nectarios perigoniales
Asparagales;Monocotyledoneae (Liliopsida);Orden;El orden de monocotiledóneas bulbosas más grande, con semillas recubiertas por fitomelanina negra
Arecales;Commelinidae;Orden;Palmeras leñosas arborescentes con grandes hojas pinnadas compuestas y inflorescencias protegidas por espatas
Poales;Commelinidae;Orden;Hierbas anemófilas con tallos cilíndricos huecos y flores reducidas protegidas por glumas membranosas
Commelinales;Commelinidae;Orden;Hierbas continentales que poseen pelos estaminales vistosos y células con cuerpos de sílice
Zingiberales;Commelinidae;Orden;Plantas tropicales de hojas gigantescas caracterizadas por poseer estaminodios petaloideos marcadamente vistosos fértiles
Ceratophyllales;Mesangiospermae;Orden;Plantas acuáticas totalmente sumergidas que carecen completamente de raíces verdaderas y estomas funcionales
 Ranunculales;Eudicotyledoneae;Orden;Eudicotiledóneas basales herbáceas que acumulan alcaloides bencilisoquinolínicos y poseen alcaloides bencilisoquinolínicos medicinales
Proteales;Eudicotyledoneae;Orden;Árboles con raíces proteoides ramificadas adaptadas eficientemente para absorber fósforo en suelos pobres
Buxales;Eudicotyledoneae;Orden;Arbustos perennes monoicos con hojas coriáceas opuestas y flores simplificadas carentes de corola
Saxifragales;Superrosidae;Orden;Orden morfológicamente diverso que incluye plantas crasas, arbustos leñosos y hierbas perennes adaptadas
Vitales;Rosidae;Orden;Lianas trepadoras provistas de zarcillos opuestos a las hojas y bayas carnosas ricas
Zygophyllales;Fabidae;Orden;Plantas de zonas áridas con hojas compuestas estipuladas y madera marcadamente densa dura
Oxalidales;Fabidae;Orden;Hierbas o árboles que acumulan grandes concentraciones de ácido oxálico en sus tejidos
Malpighiales;Fabidae;Orden;Orden gigante hiperdiverso caracterizado genéticamente, abarcando desde árboles tropicales hasta hierbas violáceas
